"STATION","ID","ELEV(FEET)","LATITUDE","LONGITUDE","COUNTY","RIVER BASIN"
"ARROYO SECO NR SOLEDAD","ASS","399","36.280521","-121.322708","MONTEREY","SALINAS R"
"ARROYO SIMI CK AT NEW LOS ANGELES AVE","MPK","510","34.278469","-118.871750","VENTURA","CALLEGUAS CR"
"ARROYO VALLE NR LIVERMORE","AVL","510","37.623264","-121.758842","ALAMEDA","EAST BAY"
"ASH CK AT ADIN","ACR","4203","41.198071","-120.943398","MODOC","PIT R"
"ASH CREEK (USFS)","ASC","3200","41.276943","-121.979446","SISKIYOU","MC CLOUD R"
"ATLAS PEAK","ATL","1660","38.428333","-122.248337","NAPA","NAPA R"
"ATWELL CAMP","ATW","6400","36.464001","-118.630997","TULARE","KAWEAH R"
"AUBURN DAM RIDGE","ADR","1200","38.882000","-121.044998","PLACER","AMERICAN R"
"AUSTIN CREEK","ACS","1","38.564003","-123.014580","SONOMA","RUSSIAN R"
"BACK CANYON (SOUTH)","BCS","3490","35.308998","-118.360001","KERN","CALIENTE CR"
"BACKBONE RAWS","BKB","4700","40.889198","-123.142197","TRINITY","TRINITY R"
"BACON ISLAND AT OLD RIVER","BAC","0","37.969345","-121.572174","SAN JOAQUIN","DELTA"
"BALCH PH (PG&E)","BAL","1720","36.909000","-119.088997","FRESNO","KINGS R"
"BALD MOUNTAIN (USBR)","BDM","4720","37.063148","-119.408577","FRESNO","SAN JOAQUIN R"
"BALD MOUNTAIN (USFS)","BMT","4680","38.900002","-120.682999","EL DORADO","RUBICON R"
"BANGOR","BGR","800","39.380730","-121.386246","BUTTE","YUBA R"
"BANGOR CANAL","BNG","815","39.504002","-121.454002","BUTTE","FEATHER R"
"BARKER SLOUGH PUMPING PLANT (KG000000)","BKS","0","38.275902","-121.796501","SOLANO","DELTA"
"BARONA","BNA","1280","32.999001","-116.839996","SAN DIEGO","SAN DIEGO R"
"BARREL SPRINGS","BRR","5835","41.911098","-119.938904","State of Nevada","PIT R"
"BATES CREEK RANCH","BAK","440","37.020802","-121.930000","SANTA CRUZ","SAN LORENZO R"
"BATES RIDGE","BTS","5120","34.917000","-119.917000","SANTA BARBARA","SANTA MARIA R"
"BATTERSON","BTT","3160","37.382999","-119.616997","MADERA","SAN JOAQUIN R"
"BATTLE CK DVRSN AT COLEMAN FISH HATCHERY","CNH","446","40.400360","-122.140266","TEHAMA","BATTLE CREEK"
"BATTLE CREEK","BAT","200","40.398209","-122.146385","TEHAMA","SACRAMENTO R"
"BATTLE RIDGE","BTR","3400","40.333000","-121.750000","TEHAMA","SACTO VLY NE"
"BEACH MEADOWS","BCH","7650","36.126095","-118.293457","TULARE","KERN R"
"BEAR","BAR","319","37.367001","-120.217003","MARIPOSA","MERCED R"
"BEAR CANYON CK AT ANDERSON SPRINGS RD","BAN","1330","38.775280","-122.688606","LAKE","PUTAH CR"
"BEAR CK AB HOLSTEN CYN NR RUMSEY","BRK","920","38.957554","-122.342751","COLUSA","CACHE CR"
"BEAR CK BLW EASTSIDE CANAL","BSD","95","37.254700","-120.719398","MADERA","SAN JOAQUIN R"
"BEAR CREEK AT MC KEE ROAD","MCK","167","37.309200","-120.445602","MERCED","SAN JOAQUIN R"
"BEAR PEAK","BRP","8228","35.883999","-118.052002","TULARE","KERN R"
"BEAR POOL","BPL","459","37.366699","-120.610001","MERCED","MERCED R"
"BEAR R AT ROLLINS RESERVOIR","BRE","1945","39.132999","-120.953003","PLACER","BEAR R"
"BEAR RIVER AT CAMP FAR WEST DAM","CFW","260","39.049858","-121.315941","YUBA","BEAR R"
"BEAR RIVER AT PLEASANT GROVE RD","BPG","75","38.984097","-121.487976","SUTTER","BEAR R"
"BEAR RIVER NEAR WHEATLAND","BRW","72","38.999928","-121.407310","PLACER","BEAR R"
"BEAR TRAP","BTP","5217","39.094501","-120.576897","PLACER","AMERICAN R"
"BEAR TRAP MEADOW","BRM","6800","36.675999","-118.858002","TULARE","KAWEAH R"
"BEAVER","BVE","5000","38.483002","-120.317001","AMADOR","MOKELUMNE R"
"BELDON LANDING","BDL","0","38.186901","-121.970802","SOLANO","SACRAMENTO R"
"BELL CANYON","BEC","750","33.551701","-117.573097","ORANGE","SANTA ANA R"
"BEN BOLT","BLT","1138","38.585999","-121.016998","EL DORADO","COSUMNES R"
"BEN LOMOND","BLN","365","37.092999","-122.074997","SANTA CRUZ","SAN LORENZO R"
"BEN LOMOND (CDF)","BLO","2630","37.132000","-122.169998","SANTA CRUZ","SAN LORENZO R"
"BENTON","BTN","5450","37.842999","-118.477997","MONO","OWENS R"
"BERRYESSA","BER","456","38.513000","-122.103996","NAPA","PUTAH CR"
"BETHEL ISLAND","BET","9","38.041092","-121.632187","CONTRA COSTA","DELTA"
"BETHEL ISLAND MUNCIPAL IMPROVEMENT DIST","BIF","20","38.014740","-121.638397","CONTRA COSTA","DELTA"
"BEVERLY HILLS","BHL","1260","34.125000","-118.419998","LOS ANGELES","LOS ANGELES R"
"BIG BAR","BGB","1270","40.733002","-123.199997","TRINITY","TRINITY R"
"BIG BASIN STATE PARK","T01","1377","37.183693","-122.204163","SANTA CRUZ","SANTA CRUZ CO COAST"
"BIG CHICO CREEK NEAR CHICO","BIC","274","39.768417","-121.778603","BUTTE","SACRAMENTO R"
"BIG CK DIVERSION NR FISH CAMP","BGF","5400","37.469440","-119.614166","MARIPOSA","MERCED R"
"BIG DALTON DAM","BDD","1587","34.169998","-117.807999","LOS ANGELES","SAN GABRIEL R"
"BIG FLAT","BFL","5100","41.077599","-122.942230","TRINITY","TRINITY R"
"BIG HILL MET STATION","BHS","6135","38.841667","-120.407501","EL DORADO","AMERICAN R"
"BIG MEADOWS (DWR)","BIM","7600","36.715225","-118.843773","TULARE","KINGS R"
"BIG MEADOWS (SCS)","BMW","8700","39.458000","-119.945999","State of Nevada","TRUCKEE R"
"BIG PINE CREEK","BGP","9800","37.127815","-118.476967","INYO","OWENS R"
"BIG PINE FLAT","BPF","6861","34.319000","-117.013000","SAN BERNARDINO","SANTA ANA R"
"BIG PINE MEADOW","BPM","7340","35.946999","-118.063004","KERN","KERN R"
"BIG PINES","BPI","6917","34.379166","-117.687798","LOS ANGELES","ANTELOPE VALLEY"
"BIG SANDY","BSN","5757","37.468399","-119.585602","MARIPOSA","MERCED R"
"BIG SPRINGS CREEK NEAR GRENADA","BGG","2578","41.599232","-122.431358","SISKIYOU","SHASTA R"
"BIJOU, SOUTH LAKE TAHOE","BIJ","6266","38.941910","-119.963371","EL DORADO","TRUCKEE R"
"BISHOP PASS","BSH","11200","37.099998","-118.556999","FRESNO","KINGS R"
"BIXLER PUMPING PLANT","BXP","14","37.939701","-121.623497","CONTRA COSTA","DELTA"
"BLACK BUTTE","BLB","426","39.807999","-122.329002","TEHAMA","STONY CR"
"BLACK BUTTE POOL","BBP","518","39.813900","-122.336700","TEHAMA","SACRAMENTO R"
"BLACK BUTTE WEATHER","BLW","425","39.808300","-122.329201","TEHAMA","STONY CR"
"BLACK CREEK NR COPPEROPOLIS","BCC","746","37.961037","-120.615204","CALAVERAS","STANISLAUS R"
"BLACK DIAMOND MINES","BKD","1600","37.950001","-121.884003","CONTRA COSTA","EAST BAY"
"BLACK MOUNTAIN","BLM","3625","35.394718","-120.352501","SAN LUIS OBISPO","SALINAS R"
"BLACK RASCAL DIVERSION","BDV","183","37.332802","-120.394402","MERCED","MERCED R"
"BLACK ROCK RESERVOIR, NF KINGS BALCH DIV","NKR","4110","36.920315","-119.022942","FRESNO","KINGS R"
"BLACK SPRINGS","BLS","6500","38.375881","-120.195000","CALAVERAS","STANISLAUS R"
"BLACKCAP BASIN","BCB","10300","37.066685","-118.773010","FRESNO","KINGS R"
"BLACKROCK","BKK","8200","36.092999","-118.261002","TULARE","KERN R"
"BLACKS MOUNTAIN","BLA","7050","40.769840","-121.199783","LASSEN","PIT R"
"BLIND POINT","BLP","0","38.032452","-121.719040","CONTRA COSTA","DELTA"
"BLOODS CREEK","BLD","7200","38.451256","-120.034882","ALPINE","STANISLAUS R"
"BLUE CANYON","BLC","5280","39.280098","-120.708694","PLACER","AMERICAN R"
"BLUE DOOR","BDR","5900","41.056000","-120.335999","LASSEN","PIT R"
"BLUE LAKES","BLK","8000","38.612999","-119.931000","ALPINE","MOKELUMNE R"
"BOCA RESERVOIR","BOC","5521","39.388000","-120.095001","NEVADA","TRUCKEE R"
"BODEGA BAY UC DAVIS BODEGA MARINE LAB","BBY","43","38.318329","-123.072861","SONOMA","RUSSIAN R"
"BOGARD RANGER STATION","BGD","5680","40.590000","-121.080002","LASSEN","SUSAN R"
"BOLAM","SVB","6800","41.476089","-122.206955","SISKIYOU","KLAMATH R"
"BONANZA KING","BNK","6450","41.083118","-122.631271","TRINITY","TRINITY R"
"BONNY DOON FIRE STATION ON MARTIN ROAD","T02","1611","37.051132","-122.139023","SANTA CRUZ","SANTA CRUZ CO COAST"
"BOONVILLE","BNV","840","38.987499","-123.348602","MENDOCINO","NAVARRO RIVER"
"BORACHO SADDLE","BHO","4350","34.605278","-118.908607","VENTURA","SANTA CLARA R"
"BOREL POOL","BOP","2635","35.643101","-118.468300","KERN","KERN R"
"BOULDER CREEK","BDC","800","37.141998","-122.163002","SANTA CRUZ","SAN LORENZO R"
"BOWMAN LAKE","BOL","5390","39.447693","-120.654823","NEVADA","YUBA R"
"BOYER CREEK","X09","1500","37.107014","-122.209488","SANTA CRUZ","SANTA CRUZ CO COAST"
"BOYES CREEK CANYON","BOY","1139","39.340530","-123.163490","MENDOCINO","RUSSIAN R"
"BRANCH MOUNTAIN","BMO","3770","35.188999","-120.083000","SAN LUIS OBISPO","SALINAS R"
"BRANDY CREEK","BDY","1300","40.617001","-122.567001","SHASTA","SACTO VLY NE"
"BRAZIE RANCH","BZR","3020","41.687000","-122.599998","SISKIYOU","KLAMATH R"
"BRECKENRIDGE","BKE","7548","35.450600","-118.583900","KERN","KERN R"
"BRENTWOOD - CONTRA COSTA CO CORP YARD","BTD","95","37.919998","-121.678001","CONTRA COSTA","EAST BAY"
"BRIDGEPORT","BPT","6650","38.271999","-119.289001","MONO","WALKER R"
"BRIDGEVILLE","BGV","646","40.473881","-123.792809","HUMBOLDT","VAN DUZEN R"
"BRIONES","BNE","1450","37.933998","-122.117996","CONTRA COSTA","EAST BAY"
"BROOKS","BSS","360","38.738335","-122.144722","YOLO","CACHE CR"
"BROWNS CK DIVERSION CANAL NR BASS LAKE","BWD","3583","37.288601","-119.519203","MADERA","SAN JOAQUIN R"
"BROWNS VALLEY SCHOOL","BVS","233","39.235859","-121.406212","YUBA","YUBA R"
"BRUSH CREEK (DWR)","BRS","3560","39.692001","-121.338997","BUTTE","FEATHER R"
"BRUSH CREEK (SMUD)","BHC","2923","38.805000","-120.620003","EL DORADO","AMERICAN R"
"BRYTE LAB","BYL","25","38.600098","-121.539543","YOLO","SACRAMENTO R"
"BRYTE TEST  SITE","BYT","25","38.599201","-121.540352","YOLO","SACRAMENTO R"
"BUCHANAN DAM","BUC","450","37.213001","-119.970001","MADERA","CHOWCHILLA R"
"BUCHANAN POOL","BHP","613","37.216702","-119.984398","MADERA","CHOWCHILLA R"
"BUCK ISLAND LAKE","BIL","6400","39.000999","-120.250000","EL DORADO","AMERICAN R"
"BUCK MEADOWS","BKM","3200","37.823299","-120.097504","TUOLUMNE","TUOLUMNE R"
"BUCKS CREEK POWERHOUSE","BUP","1760","39.917000","-121.333000","PLUMAS","FEATHER R"
"BUCKS LAKE","BKL","5873","39.852921","-121.251350","PLUMAS","FEATHER R"
"BUENA VISTA PUMPING PLANT","BVT","295","35.161446","-119.346481","KERN","TULARE LAKE WESTSIDE"
"BUFFALO CREEK","BFC","3900","40.581902","-119.790001","State of Nevada","NOT SPECIFIED"
"BULL CREEK NEAR WEOTT","BCW","269","40.351528","-124.005043","HUMBOLDT","EEL R"
"BULLARDS BAR","BUD","2100","39.396301","-121.143898","YUBA","YUBA R"
"BUNNING RANCH","BNR","1520","37.367802","-119.889999","MARIPOSA","FRESNO R"
"BURNEY CK AT PARK AVE AT BURNEY STATION","BPB","3158","40.876015","-121.670998","SHASTA","PIT R"
"BURNING MOSCOW","BMC","5920","35.465599","-118.254700","KERN","KERN R"
"BURNS CANYON","BNY","6000","34.208000","-116.621696","SAN BERNARDINO","WHITEWATER R"
"BURNS CREEK DAM","BUR","319","37.376999","-120.275002","MERCED","MERCED R"
"BURNS POOL","BPO","167","37.376701","-120.275002","MERCED","MERCED R"
"BURNSIDE LAKE","BSK","8129","38.719398","-119.894203","ALPINE","CARSON R"
"BURRELL STATION","BRL","1850","37.109001","-121.905998","SANTA CRUZ","PAJARO R"
"BUTTE CK AT COLUSA/GRIDLEY RD","BTG","60","39.361801","-121.892662","BUTTE","BUTTE CR"
"BUTTE CK NR DURHAM BLW GORRILL DAM","BDH","133","39.602169","-121.785072","BUTTE","BUTTE CR"
"BUTTE CREEK NEAR DE SABLA","BBD","2000","39.900196","-121.625313","BUTTE","BUTTE CR"
"BUTTE CREEK NR CHICO","BCK","300","39.725994","-121.708862","BUTTE","BUTTE CR"
"BUTTE CREEK NR DURHAM","BCD","190","39.678013","-121.777481","BUTTE","BUTTE CR"
"BUTTE SLOUGH AT OUTFALL GATES","BSO","50","39.195160","-121.936569","SUTTER","SACRAMENTO R"
"BUTTE SLOUGH NR MERIDIAN","BSL","13","39.171474","-121.901649","SUTTER","SACRAMENTO R"
"BUTTERCUP","BUT","320","32.740002","-114.884003","IMPERIAL","COLORADO R"
"BW-12 IMPORT TO BUTTE CREEK","BBW","2882","39.885731","-121.610329","BUTTE","BUTTE CR"
"BYRON AIRPORT","BAP","43","37.830601","-121.622498","CONTRA COSTA","DELTA"
"BYRON JACKSON PUMPS","BJP","35","38.869999","-121.752998","SUTTER","SACRAMENTO R"
"CACHE CK NR LOWER LAKE","CCL","1320","38.924171","-122.566109","LAKE","CACHE CR"
"CACHE CREEK AT RUMSEY BRIDGE","RUM","400","38.889999","-122.237999","YOLO","CACHE CR"
"CACHE CREEK AT YOLO","CCY","86","38.726635","-121.807152","YOLO","CACHE CR"
"CACHE SLOUGH ABOVE RYER ISLAND FERRY","RYF","2","38.193855","-121.658005","SOLANO","CACHE CR"
"CACHUMA LAKE (BRADBURY DAM)","CCH","781","34.583000","-119.980003","SANTA BARBARA","SANTA YNEZ R"
"CAHUILLA","CAU","278","32.973999","-115.174004","IMPERIAL","COLORADO R"
"CAL AQUEDUCT CHECK 12 (KA006633)","C12","224","37.118000","-121.057999","MERCED","SAN JOAQUIN R"
"CAL AQUEDUCT CHECK 13 (KA007089)","C13","204","37.074200","-121.015099","MERCED","SAN JOAQUIN R"
"CAL AQUEDUCT CHECK 21 (KA017226)","C21","320","36.014198","-119.976898","KINGS","KINGS R"
"CAL AQUEDUCT CHECK 41 (KA030341)","C41","3280","34.834000","-118.711899","KERN","MOJAVE R"
"CAL AQUEDUCT CHECK 66 (KA040341)","C66","3448","34.335999","-117.303596","SAN BERNARDINO","MOJAVE R"
"CALAVERAS","CVE","775","37.492001","-121.818001","ALAMEDA","ALAMEDA CR"
"CALAVERAS RANGER STATION","CVS","3360","38.196606","-120.367546","CALAVERAS","STANISLAUS R"
"CALAVERAS ROAD","CAD","1140","37.553101","-121.843903","ALAMEDA","ALAMEDA CR"
"CALIFORNIA STATE UNIV AT SACRAMENTO","CSU","25","38.555000","-121.416000","SACRAMENTO","AMERICAN R"
"CALLAHAN (USFS)","CHA","3136","41.333000","-122.833000","SISKIYOU","SCOTT R"
"CALLEGUAS CREEK - CSU CHANNEL ISLANDS","CCI","70","34.180000","-119.040001","VENTURA","SANTA CLARA R"
"CAMANCHE RESERVOIR","CMN","236","38.224998","-121.021004","SAN JOAQUIN","MOKELUMNE R"
"CAMANCHE SO. STA.2","CS2","331","38.203999","-120.972000","CALAVERAS","MOKELUMNE R"
"CAMINO","CMI","3000","38.833000","-120.532997","EL DORADO","AMERICAN R"
"CAMP 9","CP9","3998","34.353199","-118.418602","LOS ANGELES","SANTA CLARA R"
"CAMP ANGELUS","CAG","5780","34.150002","-116.977997","SAN BERNARDINO","SANTA ANA R"
"CAMP MATHER WEATHER","CMW","4810","37.878166","-119.859413","TUOLUMNE","TUOLUMNE R"
"CAMP SECO RAWS","CPS","399","38.223610","-120.866386","CALAVERAS","CALAVERAS R"
"CAMPTONVILLE (DWR)","CAM","2755","39.451000","-121.049004","YUBA","YUBA R"
"CANTUA CREEK NEAR CANTUA CREEK","CAN","680","36.404999","-120.432999","FRESNO","CANTUA CR"
"CANTUA CREEK NEAR MT WHITNEY AVENUE","CCK","330","36.430000","-120.294998","FRESNO","SAN JOAQUIN VLY WEST"
"CAPERTON RESERVOIR","CPR","620","38.862999","-121.218002","SACRAMENTO","AMERICAN R"
"CAPLES LAKE","CAP","8000","38.710793","-120.041580","ALPINE","AMERICAN R"
"CAPLES LAKE (EID)","CPL","7800","38.707001","-120.047997","ALPINE","AMERICAN R"
"CARIBOU PH","CBO","2986","40.084999","-121.150002","PLUMAS","FEATHER R"
"CARMEL RIVER AT HWY 1 BRIDGE","CMR","10","36.535999","-121.911003","MONTEREY","CARMEL R"
"CARMEL RIVER AT ROBLES DEL RIO","RDR","269","36.473999","-121.727997","MONTEREY","CARMEL R"
"CARMEL RIVER NEAR CARMEL","CML","45","36.539001","-121.874001","MONTEREY","CARMEL R"
"CARPENTER RIDGE","CAR","4812","40.069000","-121.582001","BUTTE","BUTTE CR"
"CARPINTERIA CR A CALLE OCHO FOOTBRIDGE","CPA","35","34.392712","-119.514275","SANTA BARBARA","S BARBARA COAST"
"CARRIZO","CZO","2490","35.096001","-119.773003","SAN LUIS OBISPO","CARRIZO CR"
"CARSON PASS","CXS","8353","38.692402","-120.002098","ALPINE","AMERICAN R"
"CARSON RIVER WF AT WOODFORDS","WDD","5754","38.769001","-119.832001","ALPINE","CARSON R"
"CASA VIEJA MEADOWS","CSV","8300","36.198097","-118.267685","TULARE","KERN R"
"CASE MOUNTAIN","CMA","6450","36.410999","-118.808998","TULARE","KAWEAH R"
"CASHMAN","CSH","4520","40.001900","-120.916000","PLUMAS","FEATHER R"
"CASTAIC","CAS","1535","34.515202","-118.610100","LOS ANGELES","SANTA CLARA R"
"CASTAIC CANYON CK Z3-2388","CSK","1651","34.606098","-118.665604","LOS ANGELES","SANTA CLARA R"
"CASTAIC FIRE STATION 149","CAK","1697","34.496666","-118.615837","LOS ANGELES","SANTA CLARA R"
"CASTAIC LAKE OUTLET (CAS00000)","CSO","1535","34.527000","-118.611000","LOS ANGELES","SANTA CLARA R"
"CASTAIC POWERHOUSE","CTP","2286","34.588612","-118.656670","LOS ANGELES","SANTA CLARA R"
"CASTLE MOUNTAIN","CMT","4000","35.942001","-120.328003","FRESNO","SALINAS R"
"CASTRO VALLEY CR AT HAYWARD CA","CVC","100","37.679932","-122.080521","ALAMEDA","EAST BAY"
"CATALINA","CNA","1407","33.350780","-118.352249","LOS ANGELES","NONE SPECIFIED"
"CATALINA - WRIGLEY MARINE SCIENCE CENTER","CAT","121","33.446171","-118.482765","LOS ANGELES","NOT SPECIFIED"
"CATHEY'S VALLEY","CVR","1200","37.380299","-120.076897","MARIPOSA","SAN JOAQUIN R"
"CEDAR GROVE","CGR","4720","36.787998","-118.658997","TULARE","KINGS R"
"CEDAR PASS","CDP","7100","41.583000","-120.303001","MODOC","PIT R"
"CENT SIERRA SNOW LAB","CSL","6900","39.325001","-120.366997","NEVADA","YUBA R"
"CFA RAWS NR IONE","CF1","660","38.380001","-120.930298","AMADOR","SAN JOAQUIN R"
"CHAGOOPA PLATEAU","CHP","10300","36.497143","-118.446716","TULARE","KERN R"
"CHALK PLANT NR NEW SAN PEDRO","CSP","895","37.808182","-120.542366","TUOLUMNE","TUOLUMNE R"
