Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2023-08-01 04:06,1.532,0.052,0,0,0,0,p
2023-08-01 04:12,1.598,0.046,0,0,0,0,p
2023-08-01 04:18,1.627,0.046,1,0,0,0,p
2023-08-01 04:24,1.614,0.039,1,0,0,0,p
2023-08-01 04:30,1.608,0.036,1,0,0,0,p
2023-08-01 04:36,1.614,0.036,1,0,0,0,p
2023-08-01 04:42,1.575,0.043,0,0,0,0,p
2023-08-01 04:48,1.542,0.039,1,0,0,0,p
2023-08-01 04:54,1.555,0.039,0,0,0,0,p
2023-08-01 05:00,1.529,0.043,0,0,0,0,p
2023-08-01 05:06,1.519,0.046,1,0,0,0,p
2023-08-01 05:12,1.490,0.052,1,0,0,0,p
2023-08-01 05:18,1.503,0.049,0,0,0,0,p
2023-08-01 05:24,1.509,0.046,1,0,0,0,p
2023-08-01 05:30,1.467,0.036,1,0,0,0,p
2023-08-01 05:36,1.503,0.036,1,0,0,0,p
2023-08-01 05:42,1.522,0.043,1,0,0,0,p
2023-08-01 05:48,1.535,0.036,1,0,0,0,p
2023-08-01 05:54,1.512,0.052,1,0,0,0,p
2023-08-01 06:00,1.512,0.046,1,0,0,0,p
2023-08-01 06:06,1.496,0.200,0,0,0,0,p
2023-08-01 06:12,1.470,0.072,1,0,0,0,p
2023-08-01 06:18,1.467,0.036,1,0,0,0,p
2023-08-01 06:24,1.467,0.043,1,0,0,0,p
2023-08-01 06:30,1.414,0.046,0,0,0,0,p
2023-08-01 06:36,1.447,0.043,0,0,0,0,p
2023-08-01 06:42,1.483,0.049,0,0,0,0,p
2023-08-01 06:48,1.486,0.030,1,0,0,0,p
2023-08-01 06:54,1.463,0.036,0,0,0,0,p
2023-08-01 07:00,1.398,0.036,1,0,0,0,p
2023-08-01 07:06,1.414,0.026,1,0,0,0,p
2023-08-01 07:12,1.440,0.049,1,0,0,0,p
2023-08-01 07:18,1.437,0.039,1,0,0,0,p
2023-08-01 07:24,1.407,0.046,1,0,0,0,p
2023-08-01 07:30,1.371,0.036,0,0,0,0,p
2023-08-01 07:36,1.342,0.030,1,0,0,0,p
2023-08-01 07:42,1.368,0.023,1,0,0,0,p
2023-08-01 07:48,1.381,0.023,1,0,0,0,p
2023-08-01 07:54,1.375,0.039,1,0,0,0,p
2023-08-01 08:00,1.414,0.049,1,0,0,0,p
2023-08-01 08:06,1.322,0.138,1,0,0,0,p
2023-08-01 08:12,1.335,0.075,0,0,0,0,p
2023-08-01 08:18,1.250,0.043,0,0,0,0,p
2023-08-01 08:24,1.250,0.039,0,0,0,0,p
2023-08-01 08:30,1.270,0.046,1,0,0,0,p
2023-08-01 08:36,1.263,0.033,0,0,0,0,p
2023-08-01 08:42,1.237,0.046,1,0,0,0,p
2023-08-01 08:48,1.184,0.030,0,0,0,0,p
2023-08-01 08:54,1.175,0.036,1,0,0,0,p
2023-08-01 09:00,1.145,0.036,1,0,0,0,p
2023-08-01 09:06,1.125,0.030,1,0,0,0,p
2023-08-01 09:12,1.129,0.030,1,0,0,0,p
2023-08-01 09:18,1.152,0.052,0,0,0,0,p
2023-08-01 09:24,1.060,0.144,0,0,0,0,p
2023-08-01 09:30,1.122,0.072,0,0,0,0,p
2023-08-01 09:36,1.083,0.056,0,0,0,0,p
2023-08-01 09:42,1.030,0.043,1,0,0,0,p
2023-08-01 09:48,0.978,0.049,0,0,0,0,p
2023-08-01 09:54,0.978,0.043,0,0,0,0,p
2023-08-01 10:00,0.974,0.043,0,0,0,0,p
2023-08-01 10:06,0.974,0.056,1,0,0,0,p
2023-08-01 10:12,0.932,0.052,0,0,0,0,p
2023-08-01 10:18,0.873,0.046,0,0,0,0,p
2023-08-01 10:24,0.876,0.138,0,0,0,0,p
2023-08-01 10:30,0.958,0.066,0,0,0,0,p
2023-08-01 10:36,0.906,0.049,1,0,0,0,p
2023-08-01 10:42,0.928,0.043,1,0,0,0,p
2023-08-01 10:48,0.961,0.056,0,0,0,0,p
2023-08-01 10:54,1.004,0.043,0,0,0,0,p
2023-08-01 11:00,1.010,0.036,0,0,0,0,p
2023-08-01 11:06,0.948,0.056,1,0,0,0,p
2023-08-01 11:12,1.020,0.046,1,0,0,0,p
2023-08-01 11:18,1.030,0.056,0,0,0,0,p
2023-08-01 11:24,1.043,0.046,0,0,0,0,p
2023-08-01 11:30,1.014,0.049,1,0,0,0,p
2023-08-01 11:36,1.007,0.043,0,0,0,0,p
2023-08-01 11:42,0.994,0.036,1,0,0,0,p
2023-08-01 11:48,0.971,0.039,1,0,0,0,p
2023-08-01 11:54,0.945,0.052,1,0,0,0,p
2023-08-01 12:00,0.968,0.043,0,0,0,0,p
2023-08-01 12:06,0.945,0.036,1,0,0,0,p
2023-08-01 12:12,0.935,0.039,1,0,0,0,p
2023-08-01 12:18,0.912,0.052,0,0,0,0,p
2023-08-01 12:24,0.889,0.043,0,0,0,0,p
2023-08-01 12:30,0.873,0.039,0,0,0,0,p
2023-08-01 12:36,0.886,0.039,0,0,0,0,p
2023-08-01 12:42,0.876,0.039,0,0,0,0,p
2023-08-01 12:48,0.951,0.039,1,0,0,0,p
2023-08-01 12:54,0.951,0.043,1,0,0,0,p
2023-08-01 13:00,0.955,0.039,1,0,0,0,p
2023-08-01 13:06,0.915,0.046,0,0,0,0,p
2023-08-01 13:12,0.925,0.049,1,0,0,0,p
2023-08-01 13:18,0.919,0.043,1,0,0,0,p
2023-08-01 13:24,0.883,0.043,0,0,0,0,p
2023-08-01 13:30,0.876,0.046,0,0,0,0,p
2023-08-01 13:36,0.896,0.036,0,0,0,0,p
2023-08-01 13:42,0.843,0.049,1,0,0,0,p
2023-08-01 13:48,0.801,0.039,1,0,0,0,p
2023-08-01 13:54,0.748,0.056,0,0,0,0,p
2023-08-01 14:00,0.732,0.049,0,0,0,0,p
2023-08-01 14:06,0.705,0.046,0,0,0,0,p
2023-08-01 14:12,0.732,0.046,0,0,0,0,p
2023-08-01 14:18,0.682,0.046,0,0,0,0,p
2023-08-01 14:24,0.653,0.049,1,0,0,0,p
2023-08-01 14:30,0.659,0.066,1,0,0,0,p
2023-08-01 14:36,0.656,0.052,1,0,0,0,p
2023-08-01 14:42,0.581,0.049,0,0,0,0,p
2023-08-01 14:48,0.548,0.052,0,0,0,0,p
2023-08-01 14:54,0.545,0.052,1,0,0,0,p
2023-08-01 15:00,0.528,0.052,1,0,0,0,p
2023-08-01 15:06,0.420,0.066,0,0,0,0,p
2023-08-01 15:12,0.397,0.059,1,0,0,0,p
2023-08-01 15:18,0.348,0.062,1,0,0,0,p
2023-08-01 15:24,0.289,0.059,0,0,0,0,p
2023-08-01 15:30,0.279,0.049,1,0,0,0,p
2023-08-01 15:36,0.249,0.052,0,0,0,0,p
2023-08-01 15:42,0.236,0.066,1,0,0,0,p
2023-08-01 15:48,0.174,0.059,0,0,0,0,p
2023-08-01 15:54,0.115,0.052,1,0,0,0,p
2023-08-01 16:00,0.121,0.046,1,0,0,0,p
2023-08-01 16:06,0.112,0.052,1,0,0,0,p
2023-08-01 16:12,0.043,0.059,0,0,0,0,p
2023-08-01 16:18,0.020,0.052,1,0,0,0,p
2023-08-01 16:24,-0.026,0.052,0,0,0,0,p
2023-08-01 16:30,-0.105,0.056,0,0,0,0,p
2023-08-01 16:36,-0.184,0.062,0,0,0,0,p
2023-08-01 16:42,-0.213,0.049,1,0,0,0,p
2023-08-01 16:48,-0.233,0.062,0,0,0,0,p
2023-08-01 16:54,-0.226,0.049,0,0,0,0,p
2023-08-01 17:00,-0.226,0.046,0,0,0,0,p
2023-08-01 17:06,-0.203,0.056,1,0,0,0,p
2023-08-01 17:12,-0.249,0.052,0,0,0,0,p
2023-08-01 17:18,-0.322,0.056,0,0,0,0,p
2023-08-01 17:24,-0.374,0.049,0,0,0,0,p
2023-08-01 17:30,-0.400,0.046,1,0,0,0,p
2023-08-01 17:36,-0.449,0.049,1,0,0,0,p
2023-08-01 17:42,-0.489,0.052,0,0,0,0,p
2023-08-01 17:48,-0.545,0.049,0,0,0,0,p
2023-08-01 17:54,-0.568,0.069,0,0,0,0,p
2023-08-01 18:00,-0.617,0.046,0,0,0,0,p
2023-08-01 18:06,-0.689,0.059,0,0,0,0,p
2023-08-01 18:12,-0.709,0.046,0,0,0,0,p
2023-08-01 18:18,-0.761,0.043,1,0,0,0,p
2023-08-01 18:24,-0.758,0.043,1,0,0,0,p
2023-08-01 18:30,-0.827,0.046,1,0,0,0,p
2023-08-01 18:36,-0.869,0.046,0,0,0,0,p
2023-08-01 18:42,-0.906,0.049,1,0,0,0,p
2023-08-01 18:48,-0.922,0.039,0,0,0,0,p
2023-08-01 18:54,-0.942,0.043,1,0,0,0,p
2023-08-01 19:00,-0.961,0.039,0,0,0,0,p
2023-08-01 19:06,-1.017,0.052,0,0,0,0,p
2023-08-01 19:12,-1.070,0.056,1,0,0,0,p
2023-08-01 19:18,-1.086,0.056,0,0,0,0,p
2023-08-01 19:24,-1.089,0.046,1,0,0,0,p
2023-08-01 19:30,-1.125,0.049,0,0,0,0,p
2023-08-01 19:36,-1.184,0.039,1,0,0,0,p
2023-08-01 19:42,-1.184,0.046,0,0,0,0,p
2023-08-01 19:48,-1.178,0.039,0,0,0,0,p
2023-08-01 19:54,-1.171,0.046,1,0,0,0,p
2023-08-01 20:00,-1.211,0.049,0,0,0,0,p
2023-08-01 20:06,-1.220,0.043,1,0,0,0,p
2023-08-01 20:12,-1.237,0.046,0,0,0,0,p
2023-08-01 20:18,-1.234,0.049,1,0,0,0,p
2023-08-01 20:24,-1.214,0.036,1,0,0,0,p
2023-08-01 20:30,-1.191,0.039,1,0,0,0,p
2023-08-01 20:36,-1.211,0.043,0,0,0,0,p
2023-08-01 20:42,-1.240,0.049,0,0,0,0,p
2023-08-01 20:48,-1.237,0.043,1,0,0,0,p
2023-08-01 20:54,-1.257,0.052,1,0,0,0,p
2023-08-01 21:00,-1.253,0.052,1,0,0,0,p
2023-08-01 21:06,-1.224,0.049,1,0,0,0,p
2023-08-01 21:12,-1.214,0.062,1,0,0,0,p
2023-08-01 21:18,-1.184,0.043,1,0,0,0,p
2023-08-01 21:24,-1.155,0.043,1,0,0,0,p
2023-08-01 21:30,-1.132,0.059,0,0,0,0,p
2023-08-01 21:36,-1.086,0.052,0,0,0,0,p
2023-08-01 21:42,-1.138,0.171,1,0,0,0,p
2023-08-01 21:48,-1.079,0.092,0,0,0,0,p
2023-08-01 21:54,-1.079,0.062,1,0,0,0,p
2023-08-01 22:00,-1.040,0.056,1,0,0,0,p
2023-08-01 22:06,-1.001,0.059,0,0,0,0,p
2023-08-01 22:12,-0.981,0.049,1,0,0,0,p
2023-08-01 22:18,-0.971,0.197,1,0,0,0,p
2023-08-01 22:24,-0.948,0.075,0,0,0,0,p
2023-08-01 22:30,-1.004,0.049,0,0,0,0,p
2023-08-01 22:36,-0.951,0.046,1,0,0,0,p
2023-08-01 22:42,-0.968,0.066,0,0,0,0,p
2023-08-01 22:48,-0.928,0.052,1,0,0,0,p
2023-08-01 22:54,-0.866,0.049,0,0,0,0,p
2023-08-01 23:00,-0.827,0.052,0,0,0,0,p
2023-08-01 23:06,-0.778,0.039,1,0,0,0,p
2023-08-01 23:12,-0.735,0.043,1,0,0,0,p
2023-08-01 23:18,-0.682,0.049,1,0,0,0,p
2023-08-01 23:24,-0.627,0.052,0,0,0,0,p
2023-08-01 23:30,-0.591,0.062,0,0,0,0,p
2023-08-01 23:36,-0.531,0.056,0,0,0,0,p
2023-08-01 23:42,-0.469,0.046,1,0,0,0,p
2023-08-01 23:48,-0.443,0.056,0,0,0,0,p
2023-08-01 23:54,-0.417,0.056,1,0,0,0,p
2023-08-02 00:00,-0.377,0.049,0,0,0,0,p
2023-08-02 00:06,-0.348,0.046,1,0,0,0,p
2023-08-02 00:12,-0.305,0.056,1,0,0,0,p
2023-08-02 00:18,-0.253,0.069,0,0,0,0,p
2023-08-02 00:24,-0.217,0.056,1,0,0,0,p
2023-08-02 00:30,-0.184,0.049,1,0,0,0,p
2023-08-02 00:36,-0.148,0.043,1,0,0,0,p
2023-08-02 00:42,-0.115,0.062,0,0,0,0,p
2023-08-02 00:48,-0.102,0.049,0,0,0,0,p
2023-08-02 00:54,-0.056,0.062,0,0,0,0,p
2023-08-02 01:00,0.020,0.043,1,0,0,0,p
2023-08-02 01:06,0.069,0.046,1,0,0,0,p
2023-08-02 01:12,0.138,0.046,1,0,0,0,p
2023-08-02 01:18,0.203,0.049,0,0,0,0,p
2023-08-02 01:24,0.259,0.052,0,0,0,0,p
2023-08-02 01:30,0.328,0.059,0,0,0,0,p
2023-08-02 01:36,0.367,0.052,1,0,0,0,p
2023-08-02 01:42,0.407,0.056,1,0,0,0,p
2023-08-02 01:48,0.495,0.059,0,0,0,0,p
2023-08-02 01:54,0.541,0.052,0,0,0,0,p
2023-08-02 02:00,0.630,0.043,0,0,0,0,p
2023-08-02 02:06,0.673,0.046,1,0,0,0,p
2023-08-02 02:12,0.699,0.046,1,0,0,0,p
2023-08-02 02:18,0.774,0.046,1,0,0,0,p
2023-08-02 02:24,0.814,0.046,0,0,0,0,p
2023-08-02 02:30,0.856,0.049,1,0,0,0,p
2023-08-02 02:36,0.876,0.039,1,0,0,0,p
2023-08-02 02:42,0.951,0.046,0,0,0,0,p
2023-08-02 02:48,1.033,0.043,0,0,0,0,p
2023-08-02 02:54,1.063,0.039,1,0,0,0,p
2023-08-02 03:00,1.070,0.039,1,0,0,0,p
2023-08-02 03:06,1.155,0.056,1,0,0,0,p
2023-08-02 03:12,1.214,0.046,0,0,0,0,p
2023-08-02 03:18,1.273,0.079,1,0,0,0,p
2023-08-02 03:24,1.207,0.259,1,0,0,0,p
2023-08-02 03:30,1.447,0.128,0,0,0,0,p
2023-08-02 03:36,1.407,0.082,0,0,0,0,p
2023-08-02 03:42,1.427,0.052,1,0,0,0,p
2023-08-02 03:48,1.480,0.079,0,0,0,0,p
2023-08-02 03:54,1.519,0.026,0,0,0,0,p
2023-08-02 04:00,1.539,0.026,1,0,0,0,p
2023-08-02 04:06,1.552,0.033,0,0,0,0,p
2023-08-02 04:12,1.634,0.039,1,0,0,0,p
2023-08-02 04:18,1.634,0.220,0,0,0,0,p
2023-08-02 04:24,1.601,0.072,1,0,0,0,p
2023-08-02 04:30,1.640,0.056,1,0,0,0,p
2023-08-02 04:36,1.696,0.046,0,0,0,0,p
2023-08-02 04:42,1.647,0.062,0,0,0,0,p
2023-08-02 04:48,1.657,0.052,0,0,0,0,p
2023-08-02 04:54,1.690,0.033,1,0,0,0,p
2023-08-02 05:00,1.621,0.036,1,0,0,0,p
2023-08-02 05:06,1.614,0.039,0,0,0,0,p
2023-08-02 05:12,1.631,0.030,0,0,0,0,p
2023-08-02 05:18,1.621,0.033,1,0,0,0,p
2023-08-02 05:24,1.627,0.036,1,0,0,0,p
2023-08-02 05:30,1.644,0.039,0,0,0,0,p
2023-08-02 05:36,1.670,0.036,1,0,0,0,p
2023-08-02 05:42,1.690,0.033,0,0,0,0,p
2023-08-02 05:48,1.654,0.033,0,0,0,0,p
2023-08-02 05:54,1.644,0.039,1,0,0,0,p
2023-08-02 06:00,1.637,0.030,0,0,0,0,p
2023-08-02 06:06,1.627,0.030,1,0,0,0,p
2023-08-02 06:12,1.650,0.026,0,0,0,0,p
2023-08-02 06:18,1.637,0.030,1,0,0,0,p
2023-08-02 06:24,1.585,0.026,0,0,0,0,p
2023-08-02 06:30,1.542,0.121,1,0,0,0,p
2023-08-02 06:36,1.591,0.072,1,0,0,0,p
2023-08-02 06:42,1.545,0.039,0,0,0,0,p
2023-08-02 06:48,1.529,0.046,0,0,0,0,p
2023-08-02 06:54,1.490,0.039,1,0,0,0,p
2023-08-02 07:00,1.522,0.030,0,0,0,0,p
2023-08-02 07:06,1.535,0.026,0,0,0,0,p
2023-08-02 07:12,1.519,0.066,1,0,0,0,p
2023-08-02 07:18,1.516,0.052,1,0,0,0,p
2023-08-02 07:24,1.539,0.033,1,0,0,0,p
2023-08-02 07:30,1.486,0.036,0,0,0,0,p
2023-08-02 07:36,1.434,0.023,1,0,0,0,p
2023-08-02 07:42,1.414,0.026,0,0,0,0,p
2023-08-02 07:48,1.434,0.030,1,0,0,0,p
2023-08-02 07:54,1.394,0.026,0,0,0,0,p
2023-08-02 08:00,1.348,0.033,0,0,0,0,p
2023-08-02 08:06,1.309,0.036,0,0,0,0,p
2023-08-02 08:12,1.299,0.036,1,0,0,0,p
2023-08-02 08:18,1.342,0.030,1,0,0,0,p
2023-08-02 08:24,1.342,0.030,0,0,0,0,p
2023-08-02 08:30,1.342,0.020,1,0,0,0,p
2023-08-02 08:36,1.316,0.030,1,0,0,0,p
2023-08-02 08:42,1.306,0.023,0,0,0,0,p
2023-08-02 08:48,1.302,0.036,0,0,0,0,p
2023-08-02 08:54,1.207,0.240,1,0,0,0,p
2023-08-02 09:00,1.319,0.164,0,0,0,0,p
2023-08-02 09:06,1.263,0.085,0,0,0,0,p
2023-08-02 09:12,1.250,0.039,0,0,0,0,p
2023-08-02 09:18,1.299,0.072,0,0,0,0,p
2023-08-02 09:24,1.309,0.039,1,0,0,0,p
2023-08-02 09:30,1.263,0.036,1,0,0,0,p
2023-08-02 09:36,1.227,0.033,1,0,0,0,p
2023-08-02 09:42,1.322,0.095,0,0,0,0,p
2023-08-02 09:48,1.148,0.171,1,0,0,0,p
2023-08-02 09:54,1.211,0.052,0,0,0,0,p
2023-08-02 10:00,1.181,0.072,0,0,0,0,p
2023-08-02 10:06,1.198,0.072,0,0,0,0,p
2023-08-02 10:12,1.148,0.085,1,0,0,0,p
2023-08-02 10:18,1.155,0.066,0,0,0,0,p
2023-08-02 10:24,1.165,0.049,1,0,0,0,p
2023-08-02 10:30,1.115,0.072,0,0,0,0,p
2023-08-02 10:36,1.043,0.036,1,0,0,0,p
2023-08-02 10:42,1.096,0.046,0,0,0,0,p
2023-08-02 10:48,1.053,0.039,0,0,0,0,p
2023-08-02 10:54,1.017,0.046,1,0,0,0,p
2023-08-02 11:00,1.086,0.075,0,0,0,0,p
2023-08-02 11:06,0.991,0.125,0,0,0,0,p
2023-08-02 11:12,1.024,0.066,0,0,0,0,p
2023-08-02 11:18,1.014,0.046,0,0,0,0,p
2023-08-02 11:24,0.991,0.052,0,0,0,0,p
2023-08-02 11:30,1.001,0.046,1,0,0,0,p
2023-08-02 11:36,1.030,0.049,1,0,0,0,p
2023-08-02 11:42,0.997,0.049,0,0,0,0,p
2023-08-02 11:48,0.974,0.039,1,0,0,0,p
2023-08-02 11:54,0.942,0.036,1,0,0,0,p
2023-08-02 12:00,0.974,0.046,0,0,0,0,p
2023-08-02 12:06,0.997,0.039,1,0,0,0,p
2023-08-02 12:12,1.007,0.036,1,0,0,0,p
2023-08-02 12:18,1.040,0.062,1,0,0,0,p
2023-08-02 12:24,1.089,0.046,1,0,0,0,p
2023-08-02 12:30,1.096,0.036,0,0,0,0,p
2023-08-02 12:36,1.089,0.046,0,0,0,0,p
2023-08-02 12:42,1.070,0.043,0,0,0,0,p
2023-08-02 12:48,1.099,0.039,0,0,0,0,p
2023-08-02 12:54,1.138,0.046,1,0,0,0,p
2023-08-02 13:00,1.145,0.039,1,0,0,0,p
2023-08-02 13:06,1.158,0.056,1,0,0,0,p
2023-08-02 13:12,1.155,0.039,0,0,0,0,p
2023-08-02 13:18,1.125,0.036,1,0,0,0,p
2023-08-02 13:24,1.112,0.046,0,0,0,0,p
2023-08-02 13:30,1.109,0.049,0,0,0,0,p
2023-08-02 13:36,1.089,0.043,0,0,0,0,p
2023-08-02 13:42,1.112,0.046,1,0,0,0,p
2023-08-02 13:48,1.112,0.043,1,0,0,0,p
2023-08-02 13:54,1.115,0.046,0,0,0,0,p
2023-08-02 14:00,1.089,0.046,1,0,0,0,p
2023-08-02 14:06,1.056,0.046,1,0,0,0,p
2023-08-02 14:12,1.096,0.036,0,0,0,0,p
2023-08-02 14:18,0.853,0.344,1,0,0,0,p
2023-08-02 14:24,1.168,0.223,0,0,0,0,p
2023-08-02 14:30,1.053,0.118,1,0,0,0,p
2023-08-02 14:36,0.965,0.059,1,0,0,0,p
2023-08-02 14:42,0.988,0.089,1,0,0,0,p
2023-08-02 14:48,0.935,0.072,1,0,0,0,p
2023-08-02 14:54,0.938,0.062,1,0,0,0,p
2023-08-02 15:00,0.935,0.062,0,0,0,0,p
2023-08-02 15:06,0.909,0.069,0,0,0,0,p
2023-08-02 15:12,0.942,0.059,1,0,0,0,p
2023-08-02 15:18,0.840,0.069,1,0,0,0,p
2023-08-02 15:24,0.833,0.069,1,0,0,0,p
2023-08-02 15:30,0.751,0.236,0,0,0,0,p
2023-08-02 15:36,0.715,0.085,0,0,0,0,p
2023-08-02 15:42,0.758,0.059,1,0,0,0,p
2023-08-02 15:48,0.768,0.059,1,0,0,0,p
2023-08-02 15:54,0.696,0.072,0,0,0,0,p
2023-08-02 16:00,0.659,0.062,0,0,0,0,p
2023-08-02 16:06,0.610,0.052,0,0,0,0,p
2023-08-02 16:12,0.558,0.069,1,0,0,0,p
2023-08-02 16:18,0.545,0.056,1,0,0,0,p
2023-08-02 16:24,0.522,0.043,1,0,0,0,p
2023-08-02 16:30,0.522,0.056,1,0,0,0,p
2023-08-02 16:36,0.499,0.043,0,0,0,0,p
2023-08-02 16:42,0.463,0.052,1,0,0,0,p
2023-08-02 16:48,0.436,0.049,1,0,0,0,p
2023-08-02 16:54,0.394,0.049,1,0,0,0,p
2023-08-02 17:00,0.308,0.046,1,0,0,0,p
2023-08-02 17:06,0.285,0.056,1,0,0,0,p
2023-08-02 17:12,0.253,0.062,0,0,0,0,p
2023-08-02 17:18,0.180,0.062,1,0,0,0,p
2023-08-02 17:24,0.082,0.049,0,0,0,0,p
2023-08-02 17:30,0.049,0.059,1,0,0,0,p
2023-08-02 17:36,0.003,0.164,1,0,0,0,p
2023-08-02 17:42,0.036,0.112,0,0,0,0,p
2023-08-02 17:48,-0.020,0.075,0,0,0,0,p
2023-08-02 17:54,-0.030,0.062,1,0,0,0,p
2023-08-02 18:00,-0.043,0.056,0,0,0,0,p
2023-08-02 18:06,-0.095,0.056,1,0,0,0,p
2023-08-02 18:12,-0.157,0.056,1,0,0,0,p
2023-08-02 18:18,-0.164,0.052,0,0,0,0,p
2023-08-02 18:24,-0.253,0.056,0,0,0,0,p
2023-08-02 18:30,-0.292,0.072,1,0,0,0,p
2023-08-02 18:36,-0.348,0.052,1,0,0,0,p
2023-08-02 18:42,-0.387,0.059,0,0,0,0,p
2023-08-02 18:48,-0.423,0.046,0,0,0,0,p
2023-08-02 18:54,-0.509,0.059,0,0,0,0,p
2023-08-02 19:00,-0.525,0.072,1,0,0,0,p
2023-08-02 19:06,-0.495,0.059,0,0,0,0,p
2023-08-02 19:12,-0.525,0.056,1,0,0,0,p
2023-08-02 19:18,-0.564,0.059,1,0,0,0,p
2023-08-02 19:24,-0.607,0.049,0,0,0,0,p
2023-08-02 19:30,-0.633,0.056,1,0,0,0,p
2023-08-02 19:36,-0.673,0.052,1,0,0,0,p
2023-08-02 19:42,-0.689,0.046,0,0,0,0,p
2023-08-02 19:48,-0.709,0.056,1,0,0,0,p
2023-08-02 19:54,-0.709,0.056,0,0,0,0,p
2023-08-02 20:00,-0.755,0.052,1,0,0,0,p
2023-08-02 20:06,-0.804,0.062,0,0,0,0,p
2023-08-02 20:12,-0.843,0.062,1,0,0,0,p
2023-08-02 20:18,-0.853,0.066,1,0,0,0,p
2023-08-02 20:24,-0.886,0.062,1,0,0,0,p
2023-08-02 20:30,-0.968,0.062,0,0,0,0,p
2023-08-02 20:36,-1.007,0.056,1,0,0,0,p
2023-08-02 20:42,-0.994,0.059,0,0,0,0,p
2023-08-02 20:48,-0.974,0.072,0,0,0,0,p
2023-08-02 20:54,-0.948,0.056,0,0,0,0,p
2023-08-02 21:00,-0.958,0.059,0,0,0,0,p
2023-08-02 21:06,-0.938,0.059,1,0,0,0,p
2023-08-02 21:12,-0.935,0.056,1,0,0,0,p
2023-08-02 21:18,-1.004,0.066,0,0,0,0,p
2023-08-02 21:24,-1.030,0.069,0,0,0,0,p
2023-08-02 21:30,-1.020,0.069,0,0,0,0,p
2023-08-02 21:36,-1.007,0.056,1,0,0,0,p
2023-08-02 21:42,-1.007,0.069,1,0,0,0,p
2023-08-02 21:48,-0.988,0.072,0,0,0,0,p
2023-08-02 21:54,-0.978,0.056,1,0,0,0,p
2023-08-02 22:00,-0.935,0.066,0,0,0,0,p
2023-08-02 22:06,-0.974,0.059,1,0,0,0,p
2023-08-02 22:12,-0.994,0.072,1,0,0,0,p
2023-08-02 22:18,-0.902,0.069,1,0,0,0,p
2023-08-02 22:24,-0.830,0.069,1,0,0,0,p
2023-08-02 22:30,-0.794,0.075,0,0,0,0,p
2023-08-02 22:36,-0.741,0.059,1,0,0,0,p
2023-08-02 22:42,-0.712,0.062,0,0,0,0,p
2023-08-02 22:48,-0.663,0.056,1,0,0,0,p
2023-08-02 22:54,-0.676,0.069,1,0,0,0,p
2023-08-02 23:00,-0.702,0.075,1,0,0,0,p
2023-08-02 23:06,-0.751,0.066,0,0,0,0,p
2023-08-02 23:12,-0.781,0.066,1,0,0,0,p
2023-08-02 23:18,-0.725,0.066,1,0,0,0,p
2023-08-02 23:24,-0.735,0.062,0,0,0,0,p
